clip_file,line_no,line_text
marcopolo_001.mp3,001,"이순신? …그 이름, 오랜만이군. 남들은 잡음으로 흘리지만 — 난 그 신호를 '봤어'. 에리다니 노인들이 잡았다는 그거."
marcopolo_002.mp3,002,"한 팀 하자. 길 찾고 정보 캐는 건, 이 은하에 나만 한 사람이 없거든."
marcopolo_003.mp3,003,"잠깐 — 다들 못 봤지? 저 잔해 너머, 탐사선 하나가 해적한테 뜯기고 있어."
marcopolo_004.mp3,004,크리그가 '광산 세금'을 빌미로 3주째 점거 중이야. 광부들은 착취당하고.
marcopolo_005.mp3,005,봉쇄만 하는 놈들이 아니야. 변방까지 손을 뻗고 있어.
marcopolo_006.mp3,006,"근데 무법자들이 기지를 끼고 앉았어. 안테나에 닿으려면, 먼저 치워야 해."
marcopolo_007.mp3,007,우르사이 마요리스 외곽… 발 들이는 순간 바로 적대야. 각오해.
marcopolo_008.mp3,008,"사령관, 됐어. 카스텔룸 수퍼비아 집하장 — 32구역. 크리그 스파이가 고철 프레임 속에 정보를 숨겨 운반했어. 수퍼비아 놈들은 그냥 고철로 처리했겠지. 허나 내 눈은 못 속여."
marcopolo_009.mp3,009,"그리고… 이상한 게 하나 더. 그 구역 폐기 목록에 없는 구형 캡슐 하나. 수백 년 전 설계야. 이런 건, 그냥 지나치는 법이 없지."
marcopolo_010.mp3,010,"저기 폐기 구역 끝… 목록에 없는 구형 물체야. 설계가 지금과 전혀 달라. 생명 반응이 — 미약하지만, 분명히 잡혀."
marcopolo_011.mp3,011,오르크... 접경지 밀수꾼들 사이에서 이름이 나왔어. 치크스-메카니카 접경이라 단속이 애매한 구역이야.
marcopolo_012.mp3,012,"치크스 감시선이 순찰 중이야. 정면은 자살이고 — 잠입은 거래자 위장이 최선이지. 뭐, 이런 건 내 전문이고."
marcopolo_013.mp3,013,LHS1140-b 표면은 LHS 크리스탈 광산이야. 지하 17층까지 굴착했다는 소문이 있어. 사람을 가두기엔 딱이지.
marcopolo_014.mp3,014,"노동자들 표정 봐. 겁에 질려 있어 — 크리그한테 협박당하는 거야. …이런 건, 너무 많이 봤어."
marcopolo_015.mp3,015,내가 누군지 잊었어? 당연하지.
marcopolo_016.mp3,016,전면전은 무리야. 외곽 포대만 해도 우리 세 배라고.
marcopolo_017.mp3,017,"다음 길은 내가 연다. 크리그 보급 거점 — 위치, 경비, 교대 시간까지 전부 머릿속에 있거든."
marcopolo_018.mp3,018,저항군? 거기가 얼마나 위험한지 알아? 치크스 한복판의 외톨이 거점이라고.
marcopolo_019.mp3,019,뉴 마스... 오딧세이 기지. 나도 그쪽 루트 알아. 화물 운반하다 두어 번 거쳤어.
marcopolo_020.mp3,020,"저 화물 분류 코드… 저항군 화물이 맞는데, 운항 패턴이 크리그 배급 루틴이야. 안 맞아."
marcopolo_021.mp3,021,조용히 스며드는 거? …그건 내 전공이지.
marcopolo_022.mp3,022,오그렌이 말한 내부 고발자 — '닥터 에바'. 글리제에 있어. 접촉하면 물증을 넘겨준다고 했어.
marcopolo_023.mp3,023,저 배… 본 적 있어. 은하 경매 시장에서 늘 최고가를 부르는 자유 상인이야. 한 번도 진 적이 없다더군.
marcopolo_024.mp3,024,'장영실 2.0'이라고 불려. 기어월드에서 전설이지.
marcopolo_025.mp3,025,최대해봐야 8~10개.
marcopolo_026.mp3,026,잠깐. 크리그 내부 정보망이 잡혔어 — 공장 노동자들 사이에 반란 기미가 있대.
marcopolo_027.mp3,027,"거래가 되겠군. 우리가 카토닉에서 당신 동료를 빼내고, 당신들은 크리그 내부 항로 정보를 준다."
marcopolo_028.mp3,028,볼칸이 내부 노선을 줬어. 비축고는 3층 심층부야.
marcopolo_029.mp3,029,수퍼비아는 외교가 전부야. 상인 의회가 이 행성을 쥐고 있지. 들어가려면 격식부터 갖춰야 해.
marcopolo_030.mp3,030,그건 내 무대지. 수퍼비아 상인 의회랑은 전에도 거래해봤거든 — 귀족 향수 한 병이면 회의실 문은 열려. 맡겨둬.
marcopolo_031.mp3,031,"보이드 공간은 물리 법칙부터 달라. 시간이 늘어지고, 공간이 접혀. 함선 항법이 통째로 먹통이 될 수도 있어."
marcopolo_032.mp3,032,균열 지도 원석이라… 보이드 행성에서만 나오는 건데. 운 좋게 외곽에서 몇 개 챙겨놨지.
marcopolo_033.mp3,033,저 배... 수퍼비아 주점에서 들은 그 연구선이야.
marcopolo_034.mp3,034,"백구 녀석 꼬리 봐 — 저렇게 흔드는 건, 좋은 징조라는 뜻이지."
marcopolo_035.mp3,035,전설의 제독 넬슨 — 옛 지구 최후의 대해전에서 스러진 자야. 그런데 우주에 빅토리가? 이건 — 우주 보존 캡슐이군.
marcopolo_036.mp3,036,아이젠클로 데이터에 좌표 하나 — 제타 레티쿨리. 우르사 메이저 본거지야.
marcopolo_037.mp3,037,레인저의 신호가 왔어. 저항군 전 함대 — 전투 준비 완료.
marcopolo_038.mp3,038,정보는 다 모았어. 더 살펴볼 게 없어. 이제 — 싸움이야.
marcopolo_039.mp3,039,적 후위 통신 — 차단 완료. 지원 워프 차단했어.
marcopolo_040.mp3,040,우리가 진짜 해냈어.
marcopolo_041.mp3,041,다음 모험은 — 어디로?
marcopolo_042.mp3,042,허허. 100년을 기다렸소. 이런 통쾌한 광경을.
marcopolo_043.mp3,043,마르코 폴로요. 제네시스 프로토콜의 마르코 폴로.
marcopolo_044.mp3,044,"치크스가 날 붙잡아 놓더니만, 이 함선의 무역 경로 데이터를 빼내려고 했소. 물론 안 줬지요. 나는 거래를 강요당한 적이 없소."
marcopolo_045.mp3,045,"제독께서 알아봐주시는구먼. 자, 이제 거래합시다. 내가 가진 모든 항로 정보와 무역 네트워크를 드리겠소."
marcopolo_046.mp3,046,"사령관 양반, 이 함선의 주인이오? 마음에 드는 눈을 가졌소. 자, 이제 거래합시다. 내가 가진 모든 항로 정보와 무역 네트워크를 드리겠소."
marcopolo_047.mp3,047,대신 지구까지 데려다 주시오.
